Producer Code,Product ID,Delivery Week,qty_actual,cost_actual,Price,qty_expected,cost_expected,Owns Land,Access to Water,Maximum Temperature degrees (F),Minimum Temperature degrees (F),Precipitation (inches),Snow (inches),Snow Depth (inches),Unique Product,counts,probability_delivery
AFC,3184,2021-07-19,3,20.0,22.2,6,20.0,True,True,85.28571428571429,64.57142857142857,0.22,0.0,0.0,AFC_3184,4,0.8601398601398601
AFC,3184,2021-07-19,3,20.0,22.2,6,20.0,True,True,85.28571428571429,64.57142857142857,0.22,0.0,0.0,D2D_3184,4,0.8601398601398601
AFC,3184,2021-07-19,3,20.0,22.2,6,20.0,True,True,85.28571428571429,64.57142857142857,0.22,0.0,0.0,D2D_3278,8,0.9308176100628931
D2D,3184,2021-07-19,9,20.0,22.2,30,20.0,True,True,85.28571428571429,64.57142857142857,0.22,0.0,0.0,AFC_3184,4,0.8601398601398601
D2D,3184,2021-07-19,9,20.0,22.2,30,20.0,True,True,85.28571428571429,64.57142857142857,0.22,0.0,0.0,D2D_3184,4,0.8601398601398601
D2D,3184,2021-07-19,9,20.0,22.2,30,20.0,True,True,85.28571428571429,64.57142857142857,0.22,0.0,0.0,D2D_3278,8,0.9308176100628931
D2D,3278,2021-07-19,5,33.75,37.46,5,33.75,True,True,85.28571428571429,64.57142857142857,0.22,0.0,0.0,AFC_3184,4,0.8601398601398601
D2D,3278,2021-07-19,5,33.75,37.46,5,33.75,True,True,85.28571428571429,64.57142857142857,0.22,0.0,0.0,D2D_3184,4,0.8601398601398601
D2D,3278,2021-07-19,5,33.75,37.46,5,33.75,True,True,85.28571428571429,64.57142857142857,0.22,0.0,0.0,D2D_3278,8,0.9308176100628931
AFC,3184,2021-07-26,3,20.0,22.2,6,20.0,True,True,90.0,69.57142857142857,0.14,0.0,0.0,AFC_3184,4,0.8601398601398601
AFC,3184,2021-07-26,3,20.0,22.2,6,20.0,True,True,90.0,69.57142857142857,0.14,0.0,0.0,CBS_3361,3,0.8619791666666666
AFC,3184,2021-07-26,3,20.0,22.2,6,20.0,True,True,90.0,69.57142857142857,0.14,0.0,0.0,CLP_3361,4,1.0194174757281553
AFC,3184,2021-07-26,3,20.0,22.2,6,20.0,True,True,90.0,69.57142857142857,0.14,0.0,0.0,D2D_3184,4,0.8601398601398601
AFC,3184,2021-07-26,3,20.0,22.2,6,20.0,True,True,90.0,69.57142857142857,0.14,0.0,0.0,MLG_3401,1,0.792
AFC,3184,2021-07-26,3,20.0,22.2,6,20.0,True,True,90.0,69.57142857142857,0.14,0.0,0.0,PBY_3401,1,0.792
AFC,3184,2021-07-26,3,20.0,22.2,6,20.0,True,True,90.0,69.57142857142857,0.14,0.0,0.0,SEE_3202,2,1.14453125
CBS,3361,2021-07-26,7,20.0,22.2,30,20.0,True,True,90.0,69.57142857142857,0.14,0.0,0.0,AFC_3184,4,0.8601398601398601
CBS,3361,2021-07-26,7,20.0,22.2,30,20.0,True,True,90.0,69.57142857142857,0.14,0.0,0.0,CBS_3361,3,0.8619791666666666
CBS,3361,2021-07-26,7,20.0,22.2,30,20.0,True,True,90.0,69.57142857142857,0.14,0.0,0.0,CLP_3361,4,1.0194174757281553
